Timestamp,EEG Signal
18.742,1022.33
18.758,1022
18.775,1022
18.792,1022
18.808,1022
18.824,1022.33
18.842,1022.67
18.858,1023
18.875,1022.67
18.891,1022.33
18.908,1022
18.925,1022.33
18.941,1022.67
18.958,1022.67
18.975,1022.67
18.991,1022.33
19.008,1022.33
19.024,1022
19.041,1022.33
19.057,1022.67
19.075,1023
19.091,1022.67
19.108,1022.67
19.125,1022.67
19.142,1023
19.157,1022.67
19.175,1022.67
19.191,1022.33
19.208,1022.33
19.224,1022.33
19.241,1022.33
19.257,1022.33
19.274,1022.33
19.291,1022.67
19.308,1022.67
19.325,1022.33
19.342,1022
19.358,1022.33
19.375,1022.67
19.392,1022.67
19.408,1022.67
19.425,1022.33
19.441,1022.33
19.458,1022
19.474,1022
19.492,1022
19.508,1022
19.524,1022.33
19.541,1022.33
19.558,1022.67
19.575,1022.33
19.59,1022.67
19.607,1022.33
19.625,1022.67
19.641,1022.33
19.658,1022.67
19.675,1022.33
19.692,1022.33
19.707,1022.33
19.725,1022.67
19.741,1023
19.758,1022.67
19.775,1022.33
19.791,1022
19.808,1022
19.825,1022.33
19.841,1022.33
19.858,1022.67
19.875,1022.33
19.891,1022.33
19.908,1022
19.924,1022.33
19.942,1022.67
19.982,1022.67
20.005,1022.67
20.023,1022.67
20.039,1022.67
20.056,1022.33
20.072,1022
20.088,1022
20.105,1022.33
20.123,1022.33
20.141,1022.67
20.157,1022.33
20.172,1022.67
20.191,1022.67
20.205,1023
20.223,1023
20.239,1023
20.255,1022.67
20.274,102
